id,batch_index,batch_size,creature_key,loss,onset_cycle
55154,1,16,181,2.1889748573303223,145
55153,0,16,181,0.63033127784729,145
55156,3,16,181,2.350135326385498,145
55155,2,16,181,0.477151483297348,145
55157,4,16,181,0.3617909252643585,145
55159,6,16,181,0.2734738290309906,145
56800,2,16,182,0.4773368239402771,142
56798,0,16,182,0.6306115388870239,142
57396,6,16,182,0.27400121092796326,142
57395,5,16,182,2.4734413623809814,142
56799,1,16,182,2.187647819519043,142
56801,3,16,182,2.3516151905059814,142
57397,7,16,182,2.571319818496704,142
57394,4,16,182,0.3613209128379822,142
320508,5,16,182,2.46779465675354,853
320505,2,16,182,0.475132554769516,853
320510,7,16,182,2.559307336807251,853
320509,6,16,182,0.2727961242198944,853
320503,0,16,182,0.6285762190818787,853
320506,3,16,182,2.3447628021240234,853
320507,4,16,182,0.3600093126296997,853
320504,1,16,182,2.1806209087371826,853
353954,1,16,182,2.180053472518921,950
353955,2,16,182,0.4761394262313843,950
353956,3,16,182,2.344557285308838,950
353960,7,16,182,2.562382221221924,950
353957,4,16,182,0.3601764142513275,950
353953,0,16,182,0.6286999583244324,950
353959,6,16,182,0.27275559306144714,950
353958,5,16,182,2.4651479721069336,950
359457,4,16,180,0.36054372787475586,863
359458,5,16,180,2.4653866291046143,863
359456,3,16,180,2.3444111347198486,863
359459,6,16,180,0.27274543046951294,863
359454,1,16,180,2.1800284385681152,863
359453,0,16,180,0.6284736394882202,863
359455,2,16,180,0.4755648970603943,863
359460,7,16,180,2.560560464859009,863
361073,4,16,182,0.3600659966468811,962
361071,2,16,182,0.47550898790359497,962
361070,1,16,182,2.181945323944092,962
361075,6,16,182,0.273023396730423,962
361074,5,16,182,2.4692018032073975,962
361072,3,16,182,2.3436686992645264,962
361069,0,16,182,0.6291917562484741,962
361076,7,16,182,2.557974100112915,962
429407,4,16,181,0.360066682100296,1068
429403,0,16,181,0.5465466380119324,1068
429410,7,16,181,2.5605130195617676,1068
429408,5,16,181,2.4675896167755127,1068
429406,3,16,181,2.0346732139587402,1068
429405,2,16,181,0.41365641355514526,1068
429404,1,16,181,2.267394781112671,1068
429409,6,16,181,0.2729310989379883,1068
438706,3,16,180,2.340602159500122,1099
438709,6,16,180,0.27241629362106323,1099
438704,1,16,180,2.180356979370117,1099
438708,5,16,180,2.4651260375976562,1099
438705,2,16,180,0.4758506417274475,1099
438710,7,16,180,2.558093547821045,1099
438703,0,16,180,0.6285311579704285,1099
438707,4,16,180,0.35974717140197754,1099
505881,6,16,182,0.27264371514320374,1352
505882,7,16,182,2.557605504989624,1352
505880,5,16,182,2.465299606323242,1352
505877,2,16,182,0.47530052065849304,1352
505879,4,16,182,0.359920471906662,1352
505878,3,16,182,2.3415234088897705,1352
505875,0,16,182,0.627720296382904,1352
505876,1,16,182,2.1773133277893066,1352
507607,4,16,181,0.36003515124320984,1246
507608,5,16,181,2.466066837310791,1246
507606,3,16,181,2.342193365097046,1246
507605,2,16,181,0.47599175572395325,1246
