id,aborted,batches_completed,creature_key,engram_count,mean_eligibility,onset_cycle,std_eligibility
710428,f,8,180,128,0.23814032007847044,1765,0.26891293956030754
711548,f,8,181,128,0.23814032007847044,1762,0.26891293956030754
713002,f,8,182,128,0.23814032007847044,1893,0.26891293956030754
715036,f,8,180,128,0.23814032007847044,1777,0.26891293956030754
716287,f,8,182,128,0.23814032007847044,1905,0.26891293956030754
718230,f,8,181,128,0.23814032007847044,1777,0.26891293956030754
719902,f,8,180,128,0.23814032007847044,1789,0.26891293956030754
721456,f,8,182,128,0.23814032007847044,1917,0.26891293956030754
722752,f,8,181,128,0.23814032007847044,1792,0.26891293956030754
724853,f,8,180,128,0.23814032007847044,1804,0.26891293956030754
726684,f,8,182,128,0.23814032007847044,1929,0.26891293956030754
728152,f,8,181,128,0.23814032007847044,1805,0.26891293956030754
730252,f,8,180,128,0.23814032007847044,1817,0.26891293956030754
733002,f,8,181,128,0.23814032007847044,1818,0.26891293956030754
737202,f,8,182,128,0.23814032007847044,1942,0.26891293956030754
740188,f,8,180,128,0.23814032007847044,1833,0.26891293956030754
741663,f,8,181,128,0.23814032007847044,1833,0.26891293956030754
743152,f,8,180,128,0.23814032007847044,1845,0.26891293956030754
745882,f,8,182,128,0.23814032007847044,1955,0.26891293956030754
746864,f,8,181,128,0.23814032007847044,1851,0.26891293956030754
748994,f,8,180,128,0.23814032007847044,1857,0.26891293956030754
763732,f,8,180,128,0.23814032007847044,1884,0.26891293956030754
801154,f,8,182,128,0.23814032007847044,2241,0.26891293956030754
804864,f,8,181,128,0.23814032007847044,2179,0.26891293956030754
808364,f,8,181,128,0.23814032007847044,2196,0.26891293956030754
830856,f,8,180,128,0.23814032007847044,2398,0.26891293956030754
832846,f,8,182,128,0.23814032007847044,2496,0.26891293956030754
751425,f,8,182,128,0.23814032007847044,1968,0.26891293956030754
766089,f,8,180,128,0.23814032007847044,1904,0.26891293956030754
769752,f,8,180,128,0.23814032007847044,1933,0.26891293956030754
802879,f,8,181,128,0.23814032007847044,2164,0.26891293956030754
807467,f,8,180,128,0.23814032007847044,2212,0.26891293956030754
815294,f,8,182,128,0.23814032007847044,2363,0.26891293956030754
752802,f,8,181,128,0.23814032007847044,1864,0.26891293956030754
771384,f,8,181,128,0.23814032007847044,1947,0.26891293956030754
770800,f,8,180,128,0.23814032007847044,1946,0.26891293956030754
792212,f,8,181,128,0.23814032007847044,2087,0.26891293956030754
809610,f,8,181,128,0.23814032007847044,2210,0.26891293956030754
819252,f,8,181,128,0.23814032007847044,2263,0.26891293956030754
826460,f,8,180,128,0.23814032007847044,2365,0.26891293956030754
754656,f,8,180,128,0.23814032007847044,1870,0.26891293956030754
781313,f,8,180,128,0.23814032007847044,2030,0.26891293956030754
783352,f,8,181,128,0.23814032007847044,2031,0.26891293956030754
834102,f,8,181,128,0.23814032007847044,2377,0.26891293956030754
756969,f,8,181,128,0.23814032007847044,1876,0.26891293956030754
765447,f,8,181,128,0.23814032007847044,1906,0.26891293956030754
